# name	x	y	plane	level
Gnome Stronghold Tripwire	2250	3168	0	1
Gnome Stronghold Sticks	2199	3169	0	1
Draynor Manor Crumbling Wall	2936	3355	0	5
Coal Trucks Climbing Rocks	2561	3108	0	5
Corsair Cove Rocks	2546	2873	0	10
Al Kharid Mining Rocks	2795	2978	0	15
Yanille Wall Shortcut	2575	3107	0	16
Varrock Broken Window	3444	3533	0	18
Grand Tree Log Balance	2603	3477	0	20
Coal Trucks Underwall Tunnel	3142	3513	0	21
Falador Grapple Wall	2449	3155	0	23
Trollheim Rocks	2322	3502	0	25
Edgeville Underwall Tunnel	2948	3309	0	26
Kebos Climb Rocks (Low)	1324	3777	0	29
Catherby Stepping Stones	2925	2951	0	30
Corsair Stepping Stones	3149	3363	0	31
Brimhaven Stepping Stone	2863	2971	0	32
Ardougne Log Balance	2602	3336	0	33
Morytania Obstacle Pipe	2552	3558	0	35
Kebos Stepping Stone	1393	3309	0	36
Gnome Stronghold Climb Rocks	2486	3515	0	37
Karamja Climb Rocks	3306	3315	0	38
Fremennik Stepping Stone (South)	1614	3570	0	40
Fremennik Climb Rocks	2872	3671	0	41
Rellekka Underwall Tunnel	3070	3257	0	42
Fremennik Climb Rocks (North)	2878	3665	0	43
Fremennik Climb Rocks (Mid)	2907	3682	0	44
Fremennik Stepping Stone	1720	3551	0	45
Deep Wilderness Jutting Wall	2400	4402	0	46
Fremennik Climb Rocks (East)	2900	3680	0	47
Ardougne Log Balance (North)	2722	3592	0	48
Kebos Jump Boulder	1776	3884	0	49
Morytania Stepping Stone	3422	3325	0	50
Kebos Climb Rocks	1769	3849	0	52
Feldip Grapple Tree	2874	3133	0	53
Fremennik Stepping Stone (Mid)	2573	3859	0	55
Ape Atoll Dense Forest	2188	3162	0	56
Slayer Tower Broken Fence	2688	3697	0	57
Trollheim Climb Rocks	2346	3300	0	59
Weiss Stepping Stone	3708	2969	0	60
Fremennik Crevice	2735	10008	0	61
Desert Stepping Stone	3289	2700	0	62
Taverley Loose Railing	2936	9810	0	63
Fremennik Climb Rocks (Far)	2915	3672	0	64
Morytania Ornate Railing	3423	3476	0	65
Corsair Stepping Stone	3212	3138	0	66
Taverley Rubble	2615	9503	0	67
Karuulm Climb Rocks	2997	3483	0	68
Slayer Tower Broken Wall	3295	3157	0	70
Desert Stepping Stone (South)	3372	2959	0	71
Morytania Stepping Stone (North)	3268	3629	0	72
Fremennik Climb Rocks (Peak)	2838	3693	0	73
Priff Stepping Stone	3201	3807	0	74
Karuulm Climb Rocks (High)	2871	3008	0	79
Varrock Sewers Ivy	3418	3532	0	81
Priff Stepping Stone (North)	3092	3878	0	82
Brimhaven Climb Rocks	2832	3247	0	84
Trollheim Climb Rocks (High)	2338	3253	0	85
